DATE;COMPANY;COMPANY;TO;FROM;TEMPERATURE;SKY INFORMATION;WIND SPEED;WIND ANGLE;VISIBILITY;SCHEDULED TIME;LANDED TIME;CLASS
2019-10-26;WizzAir;WizzAir;StavangerisSVG;KaunasKUN;10 °C;Fog.;22 km/h;210;5 km;11:25:00;11:18:00;Early [-15,-5) min.
2019-10-26;WizzAir;WizzAir;Londonas(Lutonas)LTN;KaunasKUN;12 °C;Cloudy.;13 km/h;200;8 km;11:40:00;11:25:00;Early (-inf, -15) min.
2019-10-26;Ryanair;Ryanair;BristolisBRS;KaunasKUN;12 °C;Cloudy.;13 km/h;200;8 km;11:50:00;11:32:00;Early (-inf, -15) min.
2019-10-26;OnurAir;OnurAir;AntalijaAYT;VilniusVNO;12 °C;Scattered clouds.;20 km/h;200;9 km;12:30:00;12:50:00;Delay (15,30] min.
2019-10-26;WizzAir;WizzAir;LondonasLTN;VilniusVNO;12 °C;Scattered clouds.;20 km/h;200;9 km;12:30:00;12:35:00;Delay (5, 15] min.
2019-10-26;AustrianAirlines;AustrianAirlines;VienaVIE;VilniusVNO;12 °C;Scattered clouds.;20 km/h;200;9 km;12:50:00;13:02:00;Delay (5, 15] min.
2019-10-26;Lufthansa;Lufthansa;FrankfurtasFRA;VilniusVNO;12 °C;Scattered clouds.;20 km/h;200;9 km;13:00:00;13:48:00;Delay (30, inf) min.
2019-10-26;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;12 °C;Scattered clouds.;20 km/h;200;9 km;13:00:00;12:38:00;Early (-inf, -15) min.
2019-10-26;WizzAir;WizzAir;EindhovenasEIN;VilniusVNO;12 °C;Scattered clouds.;20 km/h;200;9 km;13:00:00;12:43:00;Early (-inf, -15) min.
2019-10-26;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;12 °C;Scattered clouds.;20 km/h;200;9 km;13:05:00;13:07:00;On Time [-5, 5] min.
2019-10-26;Finnair;Finnair;HelsinkisHEL;VilniusVNO;12 °C;Scattered clouds.;20 km/h;200;9 km;13:10:00;13:23:00;Delay (5, 15] min.
2019-10-26;Ryanair;Ryanair;Londonas(Lutonas)LTN;KaunasKUN;14 °C;Scattered clouds.;19 km/h;200;N/A;13:35:00;13:29:00;Early [-15,-5) min.
2019-10-26;AirBaltic;AirBaltic;AmsterdamasAMS;VilniusVNO;13 °C;Broken clouds.;28 km/h;210;N/A;13:40:00;13:35:00;On Time [-5, 5] min.
2019-10-26;Ryanair;Ryanair;NiurnbergasNUE;KaunasKUN;14 °C;Scattered clouds.;22 km/h;200;N/A;14:10:00;13:58:00;Early [-15,-5) min.
2019-10-26;LOTPolishAirlines;LOT-PolishAirlines;LondonasLCY;VilniusVNO;13 °C;Overcast.;28 km/h;200;N/A;14:20:00;14:07:00;Early [-15,-5) min.
2019-10-26;Ryanair;Ryanair;KopenhagaCPH;KaunasKUN;14 °C;Scattered clouds.;22 km/h;200;N/A;14:35:00;14:21:00;Early [-15,-5) min.
2019-10-26;AirBaltic;AirBaltic;Ryga;PalangaPLQ;14 °C;Overcast.;11 km/h;230;20 km;14:45:00;15:30:00;Delay (30, inf) min.
2019-10-26;SAS;SAS;Kopenhaga;PalangaPLQ;14 °C;Overcast.;11 km/h;230;20 km;14:45:00;14:51:00;Delay (5, 15] min.
2019-10-26;ScandinavianAirlines;ScandinavianAirlines;KopenhagaCPH;VilniusVNO;13 °C;Overcast.;28 km/h;200;N/A;15:10:00;15:05:00;On Time [-5, 5] min.
2019-10-26;WizzAir;WizzAir;TelAvivasTLV;VilniusVNO;13 °C;Overcast.;28 km/h;200;N/A;15:15:00;15:02:00;Early [-15,-5) min.
2019-10-26;Ryanair;Ryanair;OslasOSL;VilniusVNO;13 °C;Overcast.;28 km/h;200;N/A;15:30:00;16:06:00;Delay (30, inf) min.
2019-10-26;UkraineInternationalAirlines;UkraineInternationalAirlines;KijevasKBP;VilniusVNO;14 °C;Sunny.;32 km/h;210;16 km;16:05:00;16:35:00;Delay (15,30] min.
2019-10-26;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;14 °C;Sunny.;32 km/h;210;16 km;16:15:00;16:18:00;On Time [-5, 5] min.
2019-10-26;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;14 °C;Sunny.;32 km/h;210;16 km;16:20:00;16:08:00;Early [-15,-5) min.
2019-10-26;Ryanair;Ryanair;MilanasBergamo;VilniusVNO;14 °C;Sunny.;32 km/h;210;16 km;16:30:00;16:12:00;Early (-inf, -15) min.
2019-10-26;OnurAir;OnurAir;AntalijaAYT;VilniusVNO;14 °C;Sunny.;32 km/h;210;16 km;16:40:00;16:24:00;Early (-inf, -15) min.
2019-10-26;GetJetAirlines;GetJetAirlines;HurgadaHRG;VilniusVNO;14 °C;Sunny.;32 km/h;210;16 km;16:40:00;17:55:00;Delay (30, inf) min.
2019-10-26;WizzAir;WizzAir;KijevasIEV;VilniusVNO;14 °C;Sunny.;32 km/h;210;16 km;16:40:00;16:39:00;On Time [-5, 5] min.
2019-10-26;Ryanair;Ryanair;KorfuCFU;VilniusVNO;13 °C;Sunny.;32 km/h;210;16 km;17:30:00;17:14:00;Early (-inf, -15) min.
2019-10-26;;;MarsaAlamas;VilniusVNO;13 °C;Sunny.;26 km/h;210;16 km;18:00:00;17:58:00;On Time [-5, 5] min.
2019-10-26;Aeroflot;Aeroflot;MaskvaSVO;VilniusVNO;13 °C;Sunny.;26 km/h;210;16 km;18:00:00;17:46:00;Early [-15,-5) min.
2019-10-26;Finnair;Finnair;HelsinkisHEL;VilniusVNO;13 °C;Sunny.;26 km/h;210;16 km;18:05:00;18:14:00;Delay (5, 15] min.
2019-10-26;Belavia;Belavia;MinskasMSQ;VilniusVNO;13 °C;Clear.;26 km/h;210;16 km;18:10:00;18:05:00;On Time [-5, 5] min.
2019-10-26;WizzAir;WizzAir;Dortmundas;PalangaPLQ;14 °C;Overcast.;11 km/h;230;20 km;18:10:00;17:55:00;Early [-15,-5) min.
2019-10-26;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;13 °C;Clear.;26 km/h;210;16 km;18:20:00;18:22:00;On Time [-5, 5] min.
2019-10-26;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;12 °C;Clear.;22 km/h;210;16 km;19:05:00;18:58:00;Early [-15,-5) min.
2019-10-26;WizzAir;WizzAir;MilanasMXP;VilniusVNO;12 °C;Clear.;22 km/h;210;16 km;19:05:00;19:12:00;Delay (5, 15] min.
2019-10-26;TurkishAirlines;TurkishAirlines;StambulasIST;VilniusVNO;12 °C;Clear.;22 km/h;210;16 km;19:10:00;19:09:00;On Time [-5, 5] min.
2019-10-26;Ryanair;Ryanair;AlikantëALC;KaunasKUN;14 °C;Passing clouds.;17 km/h;220;N/A;19:35:00;20:04:00;Delay (15,30] min.
2019-10-26;Ryanair;Ryanair;MilanasMXP;KaunasKUN;14 °C;Overcast.;17 km/h;220;N/A;20:25:00;20:34:00;Delay (5, 15] min.
2019-10-26;Ryanair;Ryanair;MaljorkosPalmaPMI;KaunasKUN;14 °C;Overcast.;17 km/h;220;N/A;20:40:00;20:46:00;Delay (5, 15] min.
2019-10-26;Ryanair;Ryanair;BriuselisCRL;VilniusVNO;12 °C;Clear.;19 km/h;210;16 km;20:55:00;20:42:00;Early [-15,-5) min.
2019-10-26;UkraineInternationalAirlines;UkraineInternationalAirlines;KijevasKBP;VilniusVNO;12 °C;Clear.;19 km/h;210;16 km;20:55:00;21:12:00;Delay (15,30] min.
2019-10-26;AirBaltic;AirBaltic;ParyþiusCDG;VilniusVNO;12 °C;Clear.;19 km/h;210;16 km;21:00:00;20:47:00;Early [-15,-5) min.
2019-10-26;Ryanair;Ryanair;KelnasCGN;KaunasKUN;14 °C;Overcast.;15 km/h;220;N/A;21:10:00;20:42:00;Early (-inf, -15) min.
2019-10-26;Ryanair;Ryanair;EdinburgasEDI;KaunasKUN;14 °C;Overcast.;15 km/h;220;N/A;22:00:00;21:29:00;Early (-inf, -15) min.
2019-10-26;Ryanair;Ryanair;LondonasLTN;VilniusVNO;11 °C;Clear.;17 km/h;210;16 km;22:15:00;22:05:00;Early [-15,-5) min.
2019-10-26;WizzAir;WizzAir;NicaNCE;VilniusVNO;11 °C;Clear.;17 km/h;210;16 km;22:30:00;22:25:00;On Time [-5, 5] min.
2019-10-26;Ryanair;Ryanair;DublinasDUB;VilniusVNO;11 °C;Clear.;15 km/h;200;16 km;22:45:00;22:10:00;Early (-inf, -15) min.
2019-10-26;Ryanair;Ryanair;Londonas(Stanstedas)STN;KaunasKUN;13 °C;Overcast.;13 km/h;220;N/A;22:50:00;22:58:00;Delay (5, 15] min.
2019-10-26;Aeroflot;Aeroflot;MaskvaSVO;VilniusVNO;11 °C;Clear.;15 km/h;200;16 km;22:55:00;22:35:00;Early (-inf, -15) min.
2019-10-26;Ryanair;Ryanair;FrankfurtasHHN;VilniusVNO;10 °C;Clear.;13 km/h;190;16 km;23:15:00;23:00:00;Early (-inf, -15) min.
2019-10-26;Ryanair;Ryanair;RodasRHO;KaunasKUN;13 °C;Overcast.;13 km/h;220;N/A;23:15:00;23:15:00;On Time [-5, 5] min.
2019-10-26;ScandinavianAirlines;ScandinavianAirlines;KopenhagaCPH;VilniusVNO;10 °C;Clear.;15 km/h;200;9 km;23:35:00;23:15:00;Early (-inf, -15) min.
2019-10-26;Ryanair;Ryanair;LondonasSTN;VilniusVNO;10 °C;Clear.;15 km/h;200;9 km;23:45:00;23:36:00;Early [-15,-5) min.
2019-10-26;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;10 °C;Clear.;15 km/h;200;9 km;23:59:00;23:49:00;Early [-15,-5) min.
2019-10-26;Ryanair;Ryanair;ParyþiusBVA;VilniusVNO;10 °C;Clear.;15 km/h;200;9 km;23:59:00;00:37:00;Delay (30, inf) min.
2019-10-27;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;10 °C;Clear.;15 km/h;200;9 km;00:05:00;23:56:00;Early [-15,-5) min.
2019-10-27;AirBaltic;AirBaltic;Ryga;PalangaPLQ;14 °C;Overcast.;7 km/h;230;20 km;00:25:00;00:15:00;Early [-15,-5) min.
2019-10-27;GetJetAirlines;GetJetAirlines;AlanijaGZP;VilniusVNO;10 °C;Clear.;19 km/h;200;7 km;00:45:00;23:58:00;Early (-inf, -15) min.
2019-10-27;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;10 °C;Clear.;19 km/h;200;7 km;00:45:00;01:03:00;Delay (15,30] min.
2019-10-27;WizzAir;WizzAir;BarselonaBCN;VilniusVNO;10 °C;Clear.;20 km/h;200;7 km;01:10:00;00:50:00;Early (-inf, -15) min.
2019-10-27;GetJetAirlines;GetJetAirlines;AntalijaAYT;VilniusVNO;10 °C;Clear.;20 km/h;200;7 km;01:15:00;02:05:00;Delay (30, inf) min.
2019-10-27;GetJetAirlines;GetJetAirlines;HurgadaHRG;VilniusVNO;10 °C;Clear.;20 km/h;210;6 km;01:55:00;01:37:00;Early (-inf, -15) min.
2019-10-27;WizzAir;WizzAir;LondonasLTN;VilniusVNO;10 °C;Clear.;22 km/h;200;6 km;02:20:00;02:48:00;Delay (15,30] min.
2019-10-27;GetJetAirlines;GetJetAirlines;TenerifëTFS;VilniusVNO;11 °C;Clear.;17 km/h;220;9 km;03:40:00;03:57:00;Delay (15,30] min.
2019-10-27;Norwegian;Norwegian;Oslas;PalangaPLQ;13 °C;Light rain. Overcast.;9 km/h;220;5 km;09:25:00;09:21:00;On Time [-5, 5] min.
2019-10-27;Ryanair;Ryanair;DublinasDUB;KaunasKUN;13 °C;Passing clouds.;15 km/h;210;N/A;09:35:00;11:03:00;Delay (30, inf) min.
2019-10-27;Ryanair;Ryanair;KopenhagaCPH;KaunasKUN;13 °C;Passing clouds.;15 km/h;210;N/A;09:40:00;11:21:00;Delay (30, inf) min.
2019-10-27;OnurAir;OnurAir;AntalijaAYT;VilniusVNO;13 °C;Sunny.;33 km/h;210;16 km;10:00:00;10:07:00;Delay (5, 15] min.
2019-10-27;Aeroflot;Aeroflot;MaskvaSVO;VilniusVNO;13 °C;Sunny.;33 km/h;210;16 km;10:05:00;10:37:00;Delay (30, inf) min.
2019-10-27;Ryanair;Ryanair;NiurnbergasNUE;KaunasKUN;13 °C;Passing clouds.;19 km/h;220;N/A;10:50:00;12:17:00;Delay (30, inf) min.
